Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S132033514,Snow Goose,Anser caerulescens,252,2,US-NY,Cayuga,L686257,Lake Rd. fields,42.7107074,-76.6894597,2023-03-28,8:02 AM,eBird - Casual Observation,,0,,,3,,,,
S132036963,Canada Goose,Branta canadensis,319,4,US-NY,Cayuga,L99626,Cayuga Lock and River Rd.,42.9468066,-76.7347652,2023-03-28,8:41 AM,eBird - Stationary Count,6,1,,,3,,,,
S132034459,Canada Goose,Branta canadensis,319,4,US-NY,Cayuga,L351196,Long Point SP (Cayuga Lake),42.7154101,-76.7102551,2023-03-28,8:09 AM,eBird - Traveling Count,5,1,0.27,,3,,,,
S132067788,Canada Goose,Branta canadensis,319,30,US-NY,Monroe,L109138,Braddock Bay Park--Hawk Watch,43.30365,-77.7163028,2023-03-28,1:47 PM,eBird - Traveling Count,61,1,0.13,,5,,,,
S132042785,Canada Goose,Branta canadensis,319,30,US-NY,Seneca,L462778,Montezuma NWR--Visitor Center area,42.9669441,-76.7409772,2023-03-28,8:54 AM,eBird - Traveling Count,48,1,0.99,,3,,,,
S132045524,Canada Goose,Branta canadensis,319,5,US-NY,Wayne,L349803,"Sodus Bay, Old Ridge Rd. Bridge",43.2233124,-76.9287318,2023-03-28,10:26 AM,eBird - Stationary Count,3,1,,,3,,,,
S132048957,Canada Goose,Branta canadensis,319,6,US-NY,Wayne,L834654,"Sodus Bay, Sodus Point",43.2748307,-76.9732189,2023-03-28,10:45 AM,eBird - Traveling Count,21,1,0.77,,3,,,,
S132067788,Mute Swan,Cygnus olor,353,30,US-NY,Monroe,L109138,Braddock Bay Park--Hawk Watch,43.30365,-77.7163028,2023-03-28,1:47 PM,eBird - Traveling Count,61,1,0.13,,5,,,,
S132070231,Mute Swan,Cygnus olor,353,5,US-NY,Monroe,L458871,Braddock Bay--South Marina,43.3060838,-77.7083373,2023-03-28,3:02 PM,eBird - Traveling Count,13,1,0.18,,3,,,,
S132045524,Mute Swan,Cygnus olor,353,20,US-NY,Wayne,L349803,"Sodus Bay, Old Ridge Rd. Bridge",43.2233124,-76.9287318,2023-03-28,10:26 AM,eBird - Stationary Count,3,1,,,3,,,,
S132042785,Blue-winged Teal,Spatula discors,450,3,US-NY,Seneca,L462778,Montezuma NWR--Visitor Center area,42.9669441,-76.7409772,2023-03-28,8:54 AM,eBird - Traveling Count,48,1,0.99,,3,,,,
S132042785,Northern Shoveler,Spatula clypeata,464,30,US-NY,Seneca,L462778,Montezuma NWR--Visitor Center area,42.9669441,-76.7409772,2023-03-28,8:54 AM,eBird - Traveling Count,48,1,0.99,,3,,,,
S132067788,Gadwall,Mareca strepera,468,10,US-NY,Monroe,L109138,Braddock Bay Park--Hawk Watch,43.30365,-77.7163028,2023-03-28,1:47 PM,eBird - Traveling Count,61,1,0.13,,5,,,,
S132045524,Gadwall,Mareca strepera,468,2,US-NY,Wayne,L349803,"Sodus Bay, Old Ridge Rd. Bridge",43.2233124,-76.9287318,2023-03-28,10:26 AM,eBird - Stationary Count,3,1,,,3,,,,
S132067788,American Wigeon,Mareca americana,477,5,US-NY,Monroe,L109138,Braddock Bay Park--Hawk Watch,43.30365,-77.7163028,2023-03-28,1:47 PM,eBird - Traveling Count,61,1,0.13,,5,,,,
S132042785,American Wigeon,Mareca americana,477,15,US-NY,Seneca,L462778,Montezuma NWR--Visitor Center area,42.9669441,-76.7409772,2023-03-28,8:54 AM,eBird - Traveling Count,48,1,0.99,,3,,,,
S132062378,Mallard,Anas platyrhynchos,505,1,US-NY,Monroe,L390730,Braddock Bay--Owl Woods,43.3201355,-77.7264261,2023-03-28,12:11 PM,eBird - Traveling Count,86,1,1.56,,4,,,,
