taxon_sort,common_name,scientific_name,species_code,aba,world_lifer,US_lifer,media_lifer,freq_US,freq_MI,freq_IN,freq_KS,freq_CO4,freq_TX,freq_AZ,freq_CA,freq_UT,freq_NV,freq_ID,freq_ND,freq_MT,freq_CO6,freq_WA,midwest,colorado,texas,arizona,california,mountainwest,cascadia,freq_max,Column1,Column2,target,region,exotic,vagrant,comment,Sensitive
230,Black-bellied Whistling-Duck ,Dendrocygna autumnalis,bbwduc,1,,,,1.00%,0.03%,0.06%,0.14%,0.00%,16.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.14%,0.00%,16.00%,1.00%,0.00%,0.07%,0.00%,16.00%,FALSE,651.08%,0,,,,,
235,Fulvous Whistling-Duck ,Dendrocygna bicolor,fuwduc,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,2.00%,FALSE,700.00%,0,,,,,
252,Snow Goose ,Anser caerulescens,snogoo,1,,,,0.00%,0.17%,0.18%,1.68%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,1.68%,1.00%,0.00%,0.00%,0.00%,0.11%,0.00%,1.68%,FALSE,420.95%,0,,,,,
256,Ross's Goose ,Anser rossii,rosgoo,1,,,,0.00%,0.15%,0.15%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.28%,FALSE,592.65%,0,,,,,
259,Greylag Goose ,Anser anser,gragoo,5,,,,0.00%,0.11%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.11%,FALSE,647.90%,0,,X,,,
264,Swan Goose ,Anser cygnoides,swagoo1,0,,1,1,0.03%,0.00%,0.00%,0.00%,0.02%,0.08%,0.02%,0.11%,0.08%,0.06%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.02%,0.08%,0.02%,0.11%,0.08%,0.00%,0.11%,FALSE,247.43%,1,california,X,,,
267,Greater White-fronted Goose ,Anser albifrons,gwfgoo,1,,,,0.00%,0.15%,0.19%,0.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.42%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.42%,FALSE,547.57%,0,,,,,
288,Pink-footed Goose ,Anser brachyrhynchus,pifgoo,4,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,,,
291,Brent Goose ,Branta bernicla,brant,1,,,,1.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,1.00%,FALSE,692.66%,0,,,,,
299,Barnacle Goose ,Branta leucopsis,bargoo,4,,,,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,FALSE,700.00%,0,,,,,
